,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,LAW199,Undergraduate Open Seminar,73855,Lecture,RW,ARRANGED,n.a.,Location Pending,"Wilson, R"
1,LAW303,Living the Law,68556,Online,AL,03:00PM - 04:15PM,TR,n.a.,"Pahre, J"
2,LAW305,Art and Cultural Property Law,70541,Lecture,A,01:30PM - 02:45PM,TR,F Law Building,"McDade, T"
3,LAW499,LAW Study Abroad,61049,Conference,A,ARRANGED,n.a.,Location Pending,
4,LAW499,LAW Study Abroad,61050,Conference,B,ARRANGED,n.a.,Location Pending,
5,LAW500,LLM Legal Writing and Research,71030,Online,GRD,09:00AM - 10:20AM,RF,n.a.,"Davidson, S & Ray, R & Smith, D"
6,LAW501,Professional Responsibility,67989,Online,GRD,03:00PM - 04:15PM,WR,n.a.,"Roebuck, A"
7,LAW599,Thesis Research,56383,Lecture,AA,ARRANGED,n.a.,Location Pending,"Aviram, A"
8,LAW599,Thesis Research,47751,Conference,BD,ARRANGED,n.a.,Location Pending,"Davey, W"
9,LAW599,Thesis Research,62971,Lecture,EJ,ARRANGED,n.a.,Location Pending,"Johnson, E"
10,LAW599,Thesis Research,53854,Lecture,JR,ARRANGED,n.a.,Location Pending,"Ross, J"
11,LAW599,Thesis Research,52073,Lecture-Discussion,MB,ARRANGED,n.a.,Location Pending,"Bashir, M"
12,LAW599,Thesis Research,63050,Lecture,PH,ARRANGED,n.a.,Location Pending,"Heald, P"
13,LAW599,Thesis Research,56086,Lecture,RL,ARRANGED,n.a.,Location Pending,"Lawless, R"
14,LAW599,Thesis Research,56091,Lecture,WD,ARRANGED,n.a.,Location Pending,"Davey, W"
15,LAW600,Pro Bono Service,36072,Laboratory-Discussion,A,ARRANGED,n.a.,Location Pending,"Winship, V"
16,LAW601,Contracts,51812,Online,GRD,01:30PM - 02:45PM,MTW,n.a.,"Rogers, J"
17,LAW602,Property,53669,Lecture-Discussion,C,08:30AM - 10:10AM,TW,AUD Law Building,"Sherkow, J"
18,LAW602,Property,49616,Lecture-Discussion,CG,08:30AM - 10:10AM,TW,Location Pending,"Sherkow, J"
19,LAW603,Torts,51608,Lecture-Discussion,A,01:30PM - 02:45PM,MTW,D Law Building,"Wexler, L"
20,LAW603,Torts,51810,Lecture-Discussion,AG,01:30PM - 02:45PM,MTW,Location Pending,"Wexler, L"
21,LAW604,Criminal Law,51611,Lecture-Discussion,B,10:30AM - 11:45AM,MTW,D Law Building,"Moore, M"
22,LAW604,Criminal Law,51609,Lecture-Discussion,BG,10:30AM - 11:45AM,MTW,Location Pending,"Moore, M"
23,LAW606,Constitutional Law I,35898,Lecture-Discussion,A,01:30PM - 03:10PM,RF,B Law Building,"Amar, V"
24,LAW606,Constitutional Law I,53806,Lecture,AG,01:30PM - 03:10PM,RF,Location Pending,"Amar, V"
25,LAW606,Constitutional Law I,35900,Lecture-Discussion,B,04:30PM - 05:45PM,TWR,AUD Law Building,"Mazzone, J"
26,LAW606,Constitutional Law I,51807,Lecture-Discussion,BG,04:30PM - 05:45PM,TWR,Location Pending,"Mazzone, J"
27,LAW606,Constitutional Law I,35902,Lecture-Discussion,C,03:00PM - 04:15PM,TWR,AUD Law Building,"Mazzone, J"
28,LAW606,Constitutional Law I,45724,Lecture-Discussion,CG,03:00PM - 04:15PM,TWR,Location Pending,"Mazzone, J"
29,LAW607,Civil Procedure,35906,Lecture-Discussion,125,10:30AM - 11:45AM,TWR,AUD Law Building,"Kordik, E"
30,LAW607,Civil Procedure,49617,Lecture-Discussion,12G,10:30AM - 11:45AM,TWR,Location Pending,"Kordik, E"
31,LAW607,Civil Procedure,35908,Lecture-Discussion,346,01:30PM - 02:45PM,TWR,AUD Law Building,"Kordik, E"
32,LAW607,Civil Procedure,49193,Lecture-Discussion,34G,01:30PM - 02:45PM,TWR,Location Pending,"Kordik, E"
33,LAW610,Introduction to Advocacy,35912,Lecture-Discussion,1,09:30AM - 10:20AM,T,B Law Building,"Schulte, A"
34,LAW610,Introduction to Advocacy,35913,Lecture-Discussion,2,09:30AM - 10:20AM,T,C Law Building,"Moritz, S"
35,LAW610,Introduction to Advocacy,35914,Lecture-Discussion,3,01:30PM - 02:20PM,M,A Law Building,"Anderson, S"
36,LAW610,Introduction to Advocacy,35915,Lecture-Discussion,4,11:00AM - 11:50AM,R,F Law Building,"Sanderson, K"
37,LAW610,Introduction to Advocacy,35916,Lecture-Discussion,5,11:00AM - 11:50AM,M,A Law Building,"Alam, R"
38,LAW610,Introduction to Advocacy,35917,Lecture-Discussion,6,10:00AM - 10:50AM,M,A Law Building,"Pea, J"
39,LAW615,Administrative Law,39962,Lecture,A,10:30AM - 11:45AM,WR,A Law Building,"Sharpe, J"
40,LAW615,Administrative Law,42003,Lecture,G,10:30AM - 11:45AM,WR,Location Pending,"Sharpe, J"
41,LAW616,Environmental Law and Pol I,51622,Lecture-Discussion,A,01:30PM - 02:20PM,MTW,E Law Building,"Freyfogle, E"
42,LAW616,Environmental Law and Pol I,52079,Lecture-Discussion,G,01:30PM - 02:20PM,MTW,Location Pending,"Freyfogle, E"
43,LAW624,Real Estate Finance,35924,Lecture-Discussion,A,09:00AM - 10:15AM,RF,C Law Building,"Perkins, S"
44,LAW624,Real Estate Finance,42004,Lecture,G,09:00AM - 10:15AM,RF,Location Pending,"Perkins, S"
45,LAW625,State and Local Government,35919,Lecture-Discussion,A,08:30AM - 09:45AM,MTW,H Law Building,"Reynolds, L"
46,LAW625,State and Local Government,53876,Lecture,G,08:30AM - 09:45AM,MTW,Location Pending,"Reynolds, L"
47,LAW631,Secured Transactions,55626,Lecture,A,10:30AM - 11:45AM,MT,C Law Building,"Lawless, R"
48,LAW631,Secured Transactions,56047,Lecture,G,10:30AM - 11:45AM,MT,Location Pending,"Lawless, R"
49,LAW633,Business Associations I,47030,Lecture-Discussion,A,09:00AM - 10:15AM,MT,D Law Building,"Sharpe, N"
50,LAW633,Business Associations I,53793,Lecture,AG,09:00AM - 10:15AM,MT,Location Pending,"Sharpe, N"
51,LAW638,White Collar Crime,44951,Lecture,A,05:00PM - 07:30PM,T,B Law Building,"Bohm, J"
52,LAW638,White Collar Crime,47284,Lecture-Discussion,G,05:00PM - 07:30PM,T,Location Pending,"Bohm, J"
53,LAW642,Antitrust Law,35923,Lecture-Discussion,A,03:00PM - 04:55PM,MT,F Law Building,"Sharpe, N"
54,LAW642,Antitrust Law,42010,Lecture,G,03:00PM - 04:55PM,MT,Location Pending,"Sharpe, N"
55,LAW648,Corporate Taxation,35928,Lecture-Discussion,A,10:30AM - 11:45AM,MT,H Law Building,"Colombo, J"
56,LAW648,Corporate Taxation,45726,Lecture-Discussion,G,10:30AM - 11:45AM,MT,Location Pending,"Colombo, J"
57,LAW653,International Business Trans,39967,Lecture-Discussion,A,04:30PM - 05:45PM,RF,C Law Building,"Heald, P"
58,LAW653,International Business Trans,42012,Lecture,G,04:30PM - 05:45PM,RF,Location Pending,"Heald, P"
59,LAW654,International Trade Policy,39968,Lecture-Discussion,A,08:45AM - 10:15AM,MTW,F Law Building,"Davey, W"
60,LAW654,International Trade Policy,42013,Lecture,G,08:45AM - 10:15AM,MTW,Location Pending,"Davey, W"
61,LAW657,International Human Rights Law,35934,Online,A,03:00PM - 04:15PM,MT,n.a.,"Boyle, F"
62,LAW657,International Human Rights Law,42015,Online,G,03:00PM - 04:15PM,MT,n.a.,"Boyle, F"
63,LAW660,Individual Employee Rights,51626,Lecture-Discussion,A,01:30PM - 02:45PM,WR,J Law Building,"Finkin, M"
64,LAW660,Individual Employee Rights,70819,Lecture,G,01:30PM - 02:45PM,WR,Location Pending,"Finkin, M"
65,LAW668,Decedents' Estates and Trusts,45735,Lecture-Discussion,A,10:30AM - 11:45AM,WR,C Law Building,"Anderson, S"
66,LAW668,Decedents' Estates and Trusts,67988,Lecture,G,10:30AM - 11:45AM,WR,Location Pending,"Anderson, S"
67,LAW670,Elder Law,35920,Lecture-Discussion,A,10:30AM - 11:45AM,MT,B Law Building,"Kaplan, R"
68,LAW670,Elder Law,42017,Lecture,G,10:30AM - 11:45AM,MT,Location Pending,"Kaplan, R"
69,LAW679,Criminal Proc: Adjudication,53571,Lecture,A,01:30PM - 02:45PM,MT,B Law Building,"Leipold, A"
70,LAW679,Criminal Proc: Adjudication,53787,Lecture,G,01:30PM - 02:45PM,MT,Location Pending,"Leipold, A"
71,LAW680,Professional Responsibility,35980,Online,A,03:00PM - 04:15PM,WR,n.a.,"Roebuck, A"
72,LAW682,Evidence,35968,Lecture-Discussion,A,09:00AM - 10:15AM,WRF,A Law Building,"Bilz, K"
73,LAW682,Evidence,42019,Lecture,G,09:00AM - 10:15AM,WRF,Location Pending,"Bilz, K"
74,LAW685,Dispute Resolution,45021,Lecture,A,08:30AM - 10:20AM,T,A Law Building,"Leroy, M"
75,LAW685,Dispute Resolution,45732,Lecture-Discussion,AG,08:30AM - 10:20AM,T,Location Pending,"Leroy, M"
76,LAW686,Remedies,36005,Lecture-Discussion,A,10:30AM - 11:45AM,WR,H Law Building,"Pahre, J"
77,LAW686,Remedies,53855,Lecture,G,10:30AM - 11:45AM,WR,Location Pending,"Pahre, J"
78,LAW687,Jurisprudence,35935,Online,A,04:30PM - 05:45PM,MT,n.a.,"Boyle, F"
79,LAW687,Jurisprudence,47749,Online,G,04:30PM - 05:45PM,MT,n.a.,"Boyle, F"
80,LAW692,Field Placements,57370,Lecture,A,ARRANGED,n.a.,Location Pending,"Szajna, R"
81,LAW692,Field Placements,67769,Lecture,M,05:00PM - 06:50PM,M,Location Pending,
82,LAW692,Field Placements,66400,Lecture,N,ARRANGED,n.a.,Location Pending,"Szajna, R"
83,LAW692,Field Placements,70766,Lecture,O,ARRANGED,n.a.,Location Pending,"Szajna, R"
84,LAW693,Clinical Training,36015,Conference,E,03:00PM - 05:00PM,W,ARR Law Building,"Boley, A"
85,LAW693,Clinical Training,36024,Discussion/ Recitation,H,04:30PM - 05:45PM,MW,E Law Building,"Curtis, Y"
86,LAW693,Clinical Training,51628,Conference,N,08:30AM - 10:20AM,W,E Law Building,"Bequette, A"
87,LAW693,Clinical Training,53572,Conference,P,01:00PM - 03:00PM,F,F Law Building,"Barich, J"
88,LAW693,Clinical Training,73457,Lecture,PG,01:00PM - 02:59PM,F,Location Pending,"Barich, J"
89,LAW693,Clinical Training,53573,Conference,Q,01:00PM - 03:00PM,F,F Law Building,"Barich, J"
90,LAW693,Clinical Training,55776,Lecture,S,03:00PM - 04:15PM,MT,E Law Building,"Frydman, M"
91,LAW693,Clinical Training,70767,Lecture,V,08:50AM - 10:20AM,MT,J Law Building,"Aronson, L"
92,LAW694,Trial Advocacy,35970,Lecture-Discussion,A1,03:00PM - 04:50PM,T,Location Pending,"Ladd, H"
93,LAW694,Trial Advocacy,35973,Laboratory-Discussion,C,ARRANGED,n.a.,Location Pending,"Perez Velazquez, M"
94,LAW694,Trial Advocacy,35974,Lecture-Discussion,D,ARRANGED,n.a.,Location Pending,"Perez Velazquez, M"
95,LAW694,Trial Advocacy,35976,Lecture-Discussion,E,ARRANGED,n.a.,Location Pending,"Perez Velazquez, M"
96,LAW694,Trial Advocacy,70768,Lecture,GRD,06:00PM - 07:40PM,W,CourtR Law Building,"Paez-Rodriguez, R"
97,LAW696,Legal Problems,35983,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Ross, R & Thomas, S"
98,LAW696,Legal Problems,58326,Lecture,AA,ARRANGED,n.a.,Location Pending,"Aviram, A"
99,LAW696,Legal Problems,57880,Lecture,AB,ARRANGED,n.a.,Location Pending,"Boley, A"
100,LAW696,Legal Problems,66129,Lecture,AL,ARRANGED,n.a.,Location Pending,"Leipold, A"
101,LAW696,Legal Problems,62996,Lecture,AMA,ARRANGED,n.a.,Location Pending,"Augustine, A"
102,LAW696,Legal Problems,58050,Lecture,AR,ARRANGED,n.a.,Location Pending,"Roebuck, A"
103,LAW696,Legal Problems,58160,Lecture,AS,ARRANGED,n.a.,Location Pending,"Schulte, A"
104,LAW696,Legal Problems,35985,Lecture-Discussion,B,ARRANGED,n.a.,Location Pending,"Anderson, S & Kaplan, R"
105,LAW696,Legal Problems,35986,Lecture-Discussion,C,ARRANGED,n.a.,Location Pending,"Heald, P"
106,LAW696,Legal Problems,35988,Lecture-Discussion,D,ARRANGED,n.a.,Location Pending,"Winship, V"
107,LAW696,Legal Problems,35989,Lecture-Discussion,E,ARRANGED,n.a.,Location Pending,"Winship, V"
108,LAW696,Legal Problems,58156,Lecture,EK,ARRANGED,n.a.,Location Pending,"Kordik, E"
109,LAW696,Legal Problems,62770,Lecture,GM,ARRANGED,n.a.,Location Pending,"Miarecki, G"
110,LAW696,Legal Problems,61410,Lecture,JC,ARRANGED,n.a.,Location Pending,"Colombo, J"
111,LAW696,Legal Problems,35990,Lecture-Discussion,JP,ARRANGED,n.a.,Location Pending,"Pea, J"
112,LAW696,Legal Problems,45074,Conference,KS,ARRANGED,n.a.,Location Pending,"Sanderson, K"
113,LAW696,Legal Problems,57882,Lecture,LA,ARRANGED,n.a.,Location Pending,"Aronson, L"
114,LAW696,Legal Problems,58161,Lecture,LW,ARRANGED,n.a.,Location Pending,"Wexler, L"
115,LAW696,Legal Problems,58318,Lecture,MF,ARRANGED,n.a.,Location Pending,"Frydman, M"
116,LAW696,Legal Problems,66250,Lecture,PJH,ARRANGED,n.a.,Location Pending,"Heald, P"
117,LAW696,Legal Problems,39973,Lecture-Discussion,RA,ARRANGED,n.a.,Location Pending,"Alam, R"
118,LAW696,Legal Problems,64542,Lecture,RB,ARRANGED,n.a.,Location Pending,"Brubaker, R"
119,LAW696,Legal Problems,49186,Laboratory-Discussion,RK,ARRANGED,n.a.,Location Pending,"Kar, R"
120,LAW696,Legal Problems,58158,Lecture,RS,ARRANGED,n.a.,Location Pending,"Szajna, R"
121,LAW696,Legal Problems,58090,Lecture,SA,ARRANGED,n.a.,Location Pending,"Anderson, S"
122,LAW696,Legal Problems,57919,Lecture,SM,ARRANGED,n.a.,Location Pending,"Moritz, S"
123,LAW696,Legal Problems,58159,Lecture,SMM,ARRANGED,n.a.,Location Pending,"Moritz, S"
124,LAW696,Legal Problems,58157,Lecture,VA,ARRANGED,n.a.,Location Pending,"Amar, V"
125,LAW696,Legal Problems,61409,Lecture,VW,ARRANGED,n.a.,Location Pending,"Winship, V"
126,LAW696,Legal Problems,57881,Lecture,YC,ARRANGED,n.a.,Location Pending,"Curtis, Y"
127,LAW697,Moot Court,35993,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Agallianos, H"
128,LAW697,Moot Court,35996,Lecture-Discussion,C,ARRANGED,n.a.,Location Pending,"Agallianos, H"
129,LAW697,Moot Court,35997,Lecture-Discussion,D,ARRANGED,n.a.,Location Pending,"Agallianos, H"
130,LAW697,Moot Court,35998,Lecture-Discussion,E,ARRANGED,n.a.,Location Pending,
131,LAW697,Moot Court,36000,Lecture-Discussion,F,ARRANGED,n.a.,Location Pending,"Agallianos, H"
132,LAW697,Moot Court,36002,Conference,H,ARRANGED,n.a.,Location Pending,"Agallianos, H"
133,LAW699,Independent Study,10511,Independent Study,,ARRANGED,n.a.,n.a.,
134,LAW699,Independent Study,54333,Lecture,AMA,ARRANGED,n.a.,Location Pending,"Augustine, A"
135,LAW699,Independent Study,42045,Seminar,ML,ARRANGED,n.a.,Location Pending,"Layser, M"
136,LAW792,Current Legal Problems,62691,Online,A1,06:00PM - 07:50PM,W,n.a.,"Glockner, D & Pillay, S"
137,LAW792,Current Legal Problems,64099,Online,A1G,06:00PM - 07:50PM,W,n.a.,"Glockner, D & Pillay, S"
138,LAW792,Current Legal Problems,68046,Online,A2,05:40PM - 08:00PM,MTWRF,n.a.,"Rushin, S"
139,LAW792,Current Legal Problems,68006,Online,A2G,05:40PM - 08:00PM,MTWRF,n.a.,"Rushin, S"
140,LAW792,Current Legal Problems,62453,Lecture-Discussion,AAA,03:00PM - 04:50PM,W,K Law Building,"Pea, J"
141,LAW792,Current Legal Problems,62737,Online,ALL,09:15AM - 10:15AM,RF,n.a.,"Miarecki, G"
142,LAW792,Current Legal Problems,45027,Lecture-Discussion,B,03:00PM - 04:15PM,MT,C Law Building,"Lawless, R"
143,LAW792,Current Legal Problems,51633,Lecture-Discussion,B1,03:00PM - 04:50PM,W,ARR Law Building,"McDade, T"
144,LAW792,Current Legal Problems,69570,Lecture,B1G,03:00PM - 04:50PM,W,Location Pending,"McDade, T"
145,LAW792,Current Legal Problems,45733,Conference,BG,03:00PM - 04:15PM,MT,Location Pending,"Lawless, R"
146,LAW792,Current Legal Problems,55768,Online,CC,01:00PM - 04:00PM,W,n.a.,"Bergetz, C"
147,LAW792,Current Legal Problems,62577,Online,CCG,01:00PM - 04:00PM,W,n.a.,"Bergetz, C"
148,LAW792,Current Legal Problems,51636,Online,D1,03:00PM - 04:50PM,T,n.a.,"Bensinger, P"
149,LAW792,Current Legal Problems,55767,Online,D1G,03:00PM - 04:50PM,T,n.a.,"Bensinger, P"
150,LAW792,Current Legal Problems,55777,Laboratory,DC,09:30AM - 11:20AM,T,Location Pending,"Shah, A"
151,LAW792,Current Legal Problems,56075,Lecture,DCG,09:30AM - 11:20AM,T,Location Pending,"Shah, A"
152,LAW792,Current Legal Problems,67793,Lecture-Discussion,EEC,11:30AM - 02:25PM,F,Location Pending,"Vermillion-Hennessey, V"
153,LAW792,Current Legal Problems,59572,Online,FCG,04:30PM - 06:20PM,W,n.a.,"Rosenberg, S & Safran, D"
154,LAW792,Current Legal Problems,67794,Online Discussion,FFC,04:30PM - 06:20PM,W,n.a.,"Rosenberg, S & Safran, D"
155,LAW792,Current Legal Problems,45075,Lecture-Discussion,GRD,01:30PM - 02:45PM,WR,ARR Law Building,"Jones, F"
156,LAW792,Current Legal Problems,47036,Lecture-Discussion,H,10:30AM - 11:45AM,T,A Law Building,"Hurd, H"
157,LAW792,Current Legal Problems,53574,Lecture-Discussion,H1,10:30AM - 11:45AM,WR,E Law Building,"Brubaker, R"
158,LAW792,Current Legal Problems,53788,Lecture-Discussion,H1G,10:30AM - 11:45AM,WR,Location Pending,"Brubaker, R"
159,LAW792,Current Legal Problems,60888,Lecture-Discussion,HG,10:30AM - 11:45AM,T,Location Pending,"Hurd, H"
160,LAW792,Current Legal Problems,55975,Lecture,HH,05:00PM - 07:00PM,WR,K Law Building,"Bradford, J"
161,LAW792,Current Legal Problems,59573,Conference,HHG,05:00PM - 07:00PM,WR,Location Pending,"Bradford, J"
162,LAW792,Current Legal Problems,47037,Lecture-Discussion,I,09:15AM - 12:00PM,W,B Law Building,"Alam, R & Kramer, L & Leifheit, K"
163,LAW792,Current Legal Problems,68003,Lecture-Discussion,IG,09:15AM - 12:00PM,W,Location Pending,"Alam, R & Kramer, L & Leifheit, K"
164,LAW792,Current Legal Problems,65954,Laboratory,J1,10:30AM - 11:45AM,MT,F Law Building,"Sharpe, J"
165,LAW792,Current Legal Problems,53577,Lecture-Discussion,J1G,10:30AM - 11:45AM,MT,Location Pending,"Sharpe, J"
166,LAW792,Current Legal Problems,47420,Lecture-Discussion,L,01:10PM - 02:50PM,R,E Law Building,"Schulte, A"
167,LAW792,Current Legal Problems,47824,Lecture-Discussion,N,03:00PM - 04:50PM,M,H Law Building,"Bradley, J"
168,LAW792,Current Legal Problems,65931,Lecture,NG,03:00PM - 04:50PM,M,Location Pending,"Bradley, J"
169,LAW792,Current Legal Problems,65744,Conference,OOO,09:00AM - 10:20AM,R,F Law Building,"Braun, M"
170,LAW792,Current Legal Problems,57756,Conference,PP,01:30PM - 02:45PM,WR,H Law Building,"Hunter, P"
171,LAW792,Current Legal Problems,65745,Conference,PPP,03:00PM - 04:20PM,T,H Law Building,"Kaplan, B"
172,LAW792,Current Legal Problems,53824,Quiz,R1,04:30PM - 06:20PM,R,J Law Building,"Sanderson, K"
173,LAW792,Current Legal Problems,54133,Lecture-Discussion,R1G,04:30PM - 06:20PM,R,Location Pending,"Sanderson, K"
174,LAW792,Current Legal Problems,59347,Online,VV,03:00PM - 04:55PM,R,n.a.,"Miarecki, G"
175,LAW792,Current Legal Problems,59577,Online,VVG,03:00PM - 04:55PM,R,n.a.,"Miarecki, G"
176,LAW792,Current Legal Problems,64054,Lecture-Discussion,W1,09:00AM - 10:15AM,WR,ARR Law Building,"Jones, F"
177,LAW792,Current Legal Problems,64055,Online,X1,01:30PM - 02:20PM,MTW,n.a.,"Brown, K"
178,LAW792,Current Legal Problems,68001,Online,X1G,01:30PM - 02:20PM,MTW,n.a.,"Brown, K"
179,LAW792,Current Legal Problems,55616,Online,Y1,ARRANGED,n.a.,n.a.,"Winter, G"
180,LAW792,Current Legal Problems,56077,Online,Y1G,ARRANGED,n.a.,n.a.,"Winter, G"
181,LAW793,Advanced Litigation Topics,49166,Lecture,C2,06:00PM - 08:30PM,R,E Law Building,"Kearns, J"
182,LAW793,Advanced Litigation Topics,45034,Lecture-Discussion,DC,06:00PM - 07:50PM,T,Location Pending,"Erickson, E"
183,LAW793,Advanced Litigation Topics,62478,Online,FC,03:00PM - 06:15PM,M,n.a.,"Anderson, K"
184,LAW793,Advanced Litigation Topics,62797,Lecture-Discussion,GRD,06:00PM - 08:40PM,R,D Law Building,"Simon, J"
185,LAW793,Advanced Litigation Topics,60953,Lecture-Discussion,O1,06:00PM - 08:40PM,W,D Law Building,"Simon, J"
186,LAW794,Adv Topics in Business Law,45035,Online,A,ARRANGED,n.a.,n.a.,"Kaplan, R"
187,LAW794,Adv Topics in Business Law,61107,Lecture,A1C,12:30PM - 02:20PM,M,Location Pending,"Loy, O"
188,LAW794,Adv Topics in Business Law,62474,Lecture,ACG,12:30PM - 02:20PM,M,Location Pending,"Loy, O"
189,LAW794,Adv Topics in Business Law,45038,Discussion/ Recitation,D,06:00PM - 07:30PM,MTWR,K Law Building,"Markus, T"
190,LAW794,Adv Topics in Business Law,67816,Lecture-Discussion,D1C,03:30PM - 05:20PM,T,Location Pending,"Graves, B"
191,LAW794,Adv Topics in Business Law,65747,Lecture-Discussion,DCG,03:30PM - 05:20PM,T,Location Pending,"Graves, B"
192,LAW794,Adv Topics in Business Law,49371,Lecture-Discussion,DG,06:00PM - 07:30PM,MTWR,Location Pending,"Markus, T"
193,LAW794,Adv Topics in Business Law,64056,Lecture-Discussion,F1,03:00PM - 04:50PM,W,H Law Building,"Fessler, J"
194,LAW794,Adv Topics in Business Law,62475,Lecture-Discussion,H1,04:30PM - 05:59PM,WR,F Law Building,"Brubaker, R"
195,LAW794,Adv Topics in Business Law,62556,Lecture-Discussion,H1G,04:30PM - 05:59PM,WR,Location Pending,"Brubaker, R"
196,LAW794,Adv Topics in Business Law,64057,Lecture-Discussion,J1,03:00PM - 04:50PM,R,H Law Building,"LaGory, D"
197,LAW794,Adv Topics in Business Law,49172,Lecture-Discussion,L,01:30PM - 02:45PM,MT,H Law Building,"Layser, M"
198,LAW794,Adv Topics in Business Law,49788,Lecture-Discussion,LG,01:30PM - 02:45PM,MT,Location Pending,"Layser, M"
199,LAW794,Adv Topics in Business Law,51639,Lecture-Discussion,O,03:00PM - 04:15PM,WR,C Law Building,"Aviram, A"
200,LAW794,Adv Topics in Business Law,51811,Lecture-Discussion,OG,03:00PM - 04:15PM,WR,Location Pending,"Aviram, A"
201,LAW795,Adv Topics in Criminal Law,47042,Lecture-Discussion,D,09:00AM - 10:15AM,MT,E Law Building,"Keenan, P"
202,LAW795,Adv Topics in Criminal Law,47745,Laboratory-Discussion,DG,09:00AM - 10:15AM,MT,Location Pending,"Keenan, P"
203,LAW795,Adv Topics in Criminal Law,53839,Lecture,J,10:30AM - 11:45AM,MT,E Law Building,"Wexler, L"
204,LAW795,Adv Topics in Criminal Law,53886,Lecture,JG,10:30AM - 11:45AM,MT,Location Pending,"Wexler, L"
205,LAW795,Adv Topics in Criminal Law,62451,Discussion/ Recitation,L,05:30PM - 07:20PM,W,H Law Building,"Miller, E"
206,LAW795,Adv Topics in Criminal Law,62554,Lecture-Discussion,LG,05:30PM - 07:20PM,W,Location Pending,"Miller, E"
207,LAW796,Comparative Law Topics,62458,Online,AA,10:00AM - 12:00PM,WRF,n.a.,"Biagi, F"
208,LAW796,Comparative Law Topics,59585,Online,AAG,10:00AM - 12:00PM,WRF,n.a.,"Biagi, F"
209,LAW796,Comparative Law Topics,51642,Lecture-Discussion,L,05:00PM - 06:50PM,T,J Law Building,"Anaya, L"
210,LAW796,Comparative Law Topics,51805,Lecture-Discussion,LG,05:00PM - 06:50PM,T,Location Pending,"Anaya, L"
211,LAW797,Intellectual Property Topics,45042,Lecture-Discussion,B,03:01PM - 05:30PM,F,F Law Building,"Barich, J"
212,LAW797,Intellectual Property Topics,69480,Lecture,BB,04:30PM - 06:10PM,MT,C Law Building,"Augustine, A"
213,LAW797,Intellectual Property Topics,69568,Lecture,BBG,04:30PM - 06:10PM,MT,Location Pending,"Augustine, A"
214,LAW797,Intellectual Property Topics,51962,Lecture-Discussion,BG,03:00PM - 05:30PM,F,Location Pending,"Barich, J"
215,LAW797,Intellectual Property Topics,60615,Lecture-Discussion,P,10:30AM - 11:45AM,RF,J Law Building,"Heald, P"
216,LAW797,Intellectual Property Topics,60891,Lecture-Discussion,PG,10:30AM - 11:45AM,RF,Location Pending,"Heald, P"
217,LAW798,Seminars,45046,Lecture-Discussion,A,03:00PM - 04:50PM,R,K Law Building,"Finkin, M"
218,LAW798,Seminars,64062,Online,AC,03:30PM - 05:10PM,R,n.a.,"Rubin, A"
219,LAW798,Seminars,67997,Online,ACG,03:30PM - 05:10PM,R,n.a.,"Rubin, A"
220,LAW798,Seminars,60905,Lecture-Discussion,AG,03:00PM - 04:50PM,R,Location Pending,"Finkin, M"
221,LAW798,Seminars,63002,Lecture,AR,ARRANGED,n.a.,Location Pending,"Roebuck, A"
222,LAW798,Seminars,60611,Online,CC,ARRANGED,n.a.,n.a.,"Sharpe, N"
223,LAW798,Seminars,60901,Online,CCG,ARRANGED,n.a.,n.a.,"Sharpe, N"
224,LAW798,Seminars,45050,Lecture-Discussion,D,09:00AM - 10:15AM,MT,K Law Building,"Layser, M"
225,LAW798,Seminars,45467,Lecture-Discussion,DG,09:00AM - 10:15AM,MT,Location Pending,"Layser, M"
226,LAW798,Seminars,45051,Online,E,03:00PM - 04:50PM,M,n.a.,"Bernier, B"
227,LAW798,Seminars,53597,Online,EG,03:00PM - 04:50PM,M,n.a.,"Bernier, B"
228,LAW798,Seminars,61316,Lecture,PH,ARRANGED,n.a.,Location Pending,"Heald, P"
229,LAW798,Seminars,49182,Lecture-Discussion,R,09:00AM - 10:50AM,F,F Law Building,"Amar, V & Mazzone, J"
230,LAW798,Seminars,51813,Lecture-Discussion,RG,09:00AM - 10:50AM,F,Location Pending,"Amar, V & Mazzone, J"
